Date,Open,High,Low,Close,Adj Close,Volume
2017-07-14,0.732461,0.736269,0.730178,0.732429,0.732429,0
2017-07-17,0.735721,0.735749,0.731829,0.735841,0.735841,0
2017-07-18,0.727839,0.737072,0.727262,0.727988,0.727988,0
2017-07-19,0.735489,0.738869,0.734160,0.735229,0.735229,0
2017-07-20,0.736420,0.739700,0.733530,0.736431,0.736431,0
2017-07-21,0.740291,0.745129,0.739601,0.740340,0.740340,0
2017-07-24,0.745268,0.745712,0.742639,0.745279,0.745279,0
2017-07-25,0.743981,0.745101,0.741153,0.743981,0.743981,0
2017-07-26,0.742032,0.744109,0.741141,0.742198,0.742198,0
2017-07-27,0.752598,0.755898,0.748951,0.752570,0.752570,0
2017-07-28,0.750480,0.751089,0.746352,0.750413,0.750413,0
2017-07-31,0.751880,0.752361,0.746988,0.752010,0.752010,0
2017-08-01,0.750909,0.752298,0.746380,0.750751,0.750751,0
2017-08-02,0.742688,0.744679,0.741301,0.742639,0.742639,0
2017-08-03,0.741021,0.744713,0.739262,0.741010,0.741010,0
2017-08-04,0.744435,0.745879,0.739492,0.744713,0.744713,0
2017-08-07,0.740872,0.741642,0.735310,0.740911,0.740911,0
2017-08-08,0.735922,0.737300,0.731989,0.735949,0.735949,0
2017-08-09,0.732531,0.733783,0.731042,0.732499,0.732499,0
2017-08-10,0.735559,0.735559,0.725358,0.735510,0.735510,0
2017-08-11,0.727299,0.731791,0.725468,0.727389,0.727389,0
2017-08-14,0.731781,0.732332,0.728481,0.731652,0.731652,0
2017-08-15,0.729629,0.731277,0.723689,0.729639,0.729639,0
2017-08-16,0.723390,0.727379,0.722611,0.723322,0.723322,0
2017-08-17,0.731689,0.733676,0.729091,0.731657,0.731657,0
2017-08-18,0.728242,0.733460,0.728242,0.728269,0.728269,0
2017-08-21,0.731170,0.733751,0.730850,0.731090,0.731090,0
2017-08-22,0.732751,0.733552,0.727431,0.732730,0.732730,0
2017-08-23,0.728088,0.728088,0.720871,0.728141,0.728141,0
2017-08-24,0.723720,0.723720,0.719378,0.723531,0.723531,0
2017-08-25,0.720731,0.725879,0.719989,0.720721,0.720721,0
2017-08-28,0.725521,0.725890,0.723212,0.725121,0.725121,0
2017-08-29,0.724522,0.729927,0.721990,0.724438,0.724438,0
2017-08-30,0.726042,0.727712,0.719492,0.725890,0.725890,0
2017-08-31,0.720020,0.720461,0.713338,0.720388,0.720388,0
2017-09-01,0.717860,0.720710,0.715262,0.717911,0.717911,0
2017-09-04,0.716789,0.718169,0.715789,0.716779,0.716779,0
2017-09-05,0.716178,0.726459,0.716040,0.716158,0.716158,0
2017-09-06,0.725969,0.726121,0.720181,0.725911,0.725911,0
2017-09-07,0.720482,0.724239,0.717381,0.720342,0.720342,0
2017-09-08,0.724879,0.733762,0.724669,0.724848,0.724848,0
2017-09-11,0.723369,0.729607,0.722731,0.724129,0.724129,0
2017-09-12,0.725452,0.732279,0.721850,0.725431,0.725431,0
